StudentID,AttendanceRate,StudyTime,FinalExamScore,Pass/Fail
S001,90,10,85,1
S002,75,8,78,1
S003,60,6,65,1
S004,55,4,58,0
S005,95,12,92,1
S006,85,9,80,1
S007,70,5,62,1
S008,50,3,50,0
S009,40,2,40,0
S010,65,6,60,1
S011,88,9,84,1
S012,92,11,90,1
S013,45,3,45,0
S014,58,5,55,0
S015,78,7,75,1
S016,82,10,86,1
S017,55,4,52,0
S018,68,6,67,1
S019,91,11,89,1
S020,35,2,35,0
S021,47,4,48,0
S022,74,8,76,1
S023,85,9,83,1
S024,62,5,59,0
S025,96,13,94,1
S026,80,7,74,1
S027,67,6,66,1
S028,73,8,77,1
S029,60,5,57,0
S030,87,10,88,1
